Title,Image,Stars,Discounted_Price,Original_Price,Discount,,,
"pTron Pride Lite HBE (High Bass Earphones) in-Ear Wired Headphones with in-line Mic, 10mm Powerful Driver for Stereo Audio, Noise Cancelling Headset with 1.2m Tangle-Free Cable & 3.5mm Aux (Grey)",https://m.media-amazon.com/images/I/51RyH+nQGRL._AC_UL320_.jpg,3.6 out of 5 stars,₹199,₹899,(78% off),,,
"Samsung Galaxy Buds Live Bluetooth Truly Wireless in Ear Earbuds with Mic, Upto 21 Hours Playtime, Mystic Black",https://m.media-amazon.com/images/I/61G5JoU9tTL._AC_UL320_.jpg,3.9 out of 5 stars,"₹4,490","₹15,990",(72% off),,,
Sounce Protective Case Cover Compatible Boat Xtend Overall Protective Case TPU HD Clear Ultra-Thin Cover with Unbreakable Screen Guard,https://m.media-amazon.com/images/I/616kPBfRCTL._AC_UL320_.jpg,4.2 out of 5 stars,₹185,₹999,(81% off),,,
"Fire-Boltt Ninja 3 Smartwatch Full Touch 1.69 "" & 60 Sports Modes with IP68, Sp02 Tracking, Over 100 Cloud based watch faces ( Navy Blue )",https://m.media-amazon.com/images/I/61b7zU-3TvL._AC_UL320_.jpg,4.2 out of 5 stars,"₹1,799","₹7,999",(78% off),,,
"Sounce AirPods Pro Case, Soft Silicone Skin Case Cover Shock-Absorbing Protective Case with Keychain Compatible with AirPods Pro [Front LED Visible] (Black)",https://m.media-amazon.com/images/I/51-Iz-3IRSS._AC_UL320_.jpg,3.7 out of 5 stars,₹199,₹999,(80% off),,,
"U&M DC Superheros Premium Textured Quality Printed Mouse Pad for Home, Offices & Gaming",https://m.media-amazon.com/images/I/61Qm5AESueL._AC_UL320_.jpg,,₹99,₹399,(75% off),,,
VEKTA Charger Qualcom Fast USB Charger 18w,https://m.media-amazon.com/images/I/21q27cVHjAL._AC_UL320_.jpg,,₹299,"₹1,500",(80% off),,,
SONIA MUSICALS 7 Stopper Harmonium With 39 key,https://m.media-amazon.com/images/I/71iLuIwAVGL._AC_UL320_.jpg,,"₹7,500","₹15,500",(52% off),,,
"ELV Aluminum Adjustable Mobile Phone Foldable Holder Stand Dock Mount for All Smartphones, Tabs, Kindle, iPad (Black)",https://m.media-amazon.com/images/I/71ZU8hKb2XL._AC_UL320_.jpg,4.5 out of 5 stars,₹265,"₹1,499",(82% off),,,
"Fire-Boltt India's No 1 Smartwatch Brand Talk 2 Bluetooth Calling Smartwatch with Dual Button, Hands On Voice Assistance, 60 Sports Modes, in Built Mic & Speaker with IP68 Rating",https://m.media-amazon.com/images/I/61zsr8e+9FL._AC_UL320_.jpg,4.2 out of 5 stars,"₹2,199","₹9,999",(78% off),,,
Rapidotzz Band Straps Compatible for Mi Band 4 and Mi Band 3 (Black and Blue),https://m.media-amazon.com/images/I/51iHAUQxv7L._AC_UL320_.jpg,4.0 out of 5 stars,₹149,"₹1,499",(90% off),,,
"Infinity (JBL) Glide 120, in Ear Wireless Earphones with Mic, Deep Bass, Dual Equalizer, 12mm Drivers, Premium Metal Earbuds, Comfortable Flex Neckband, Bluetooth 5.0, IPX5 Sweatproof (Black & Red)",https://m.media-amazon.com/images/I/6126kPdxudL._AC_UL320_.jpg,3.9 out of 5 stars,₹899,"₹2,999",(70% off),,,
"Zebronics FIT180CH Smart Watch, IP68 Waterproof, 12 Sports Modes, 1.39"" (3.55cm) Display, Unisex Design, Heart Rate, SpO2, BP, SMS Text Call Notifications and Customizable Watch Faces(Blue)",https://m.media-amazon.com/images/I/61qgLLTOS2L._AC_UL320_.jpg,4.2 out of 5 stars,"₹1,099","₹3,999",(73% off),,,
"rts [2 Pack] Mini USB C Type C Adapter Plug, Type C Female to USB A Male Charger Charging Cable Adapter Converter compatible for iPhone 12 Pro Max/Mini/11/10/XR/XS/X/SE 2020, Samsung S20 ultra/S21/S10/S8/S9/MacBook Pro iPad Silver",https://m.media-amazon.com/images/I/51fwCKFIQHS._AC_UL320_.jpg,4.3 out of 5 stars,₹294,"₹4,999",(94% off),,,
"WeCool C1 Car Mobile Holder with One Click Technology,360° Rotational, Strong Suction Cup,Compatible with 4 to 6 Inch Devices, Wildshield and Dashboard Mobile Holder for Car, and Use",https://m.media-amazon.com/images/I/61KYFtXzZeL._AC_UL320_.jpg,4.0 out of 5 stars,₹499,"₹1,999",(75% off),,,
"Boult Audio AirBass X1 Buds TWS, 24H Playtime with Quad Mic ENC, Fast Charging Type-C, IPX5 Water Resistant, Touch Controls and Voice Assistant Bluetooth Truly Wireless In Ear Earbuds with Mic (Black)",https://m.media-amazon.com/images/I/71mT2gCHH+L._AC_UL320_.jpg,3.9 out of 5 stars,"₹1,799","₹6,999",(74% off),,,
"pTron Solero A15 3.5mm Male to Male Aux Cable, 90 Degree Connector, 1.5 Meter Long Stereo Audio Cable, Metal Shell, Gold-Plated Connectors with Strong Nylon Braided Cable (Grey)",https://m.media-amazon.com/images/I/51IAgBg+R2L._AC_UL320_.jpg,4.2 out of 5 stars,₹149,₹699,(79% off),,,
"Newly Launched pTron Force X10 Bluetooth Calling Smartwatch with 1.7"" Full Touch Display, Real Heart Rate Monitor, SpO2, Watch Faces, 5 Days Runtime, Health/Fitness Trackers & IP68 Waterproof (Black)",https://m.media-amazon.com/images/I/51IUa29+qPL._AC_UL320_.jpg,3.1 out of 5 stars,"₹1,599","₹5,999",(73% off),,,
"pTron Volta Dual Port 12W Smart USB Charger Adapter, Multi-Layer Protection, Made in India, BIS Certified, Fast Charging Power Adaptor Without Cable for All iOS & Android Devices (White)",https://m.media-amazon.com/images/I/41BrcEj3NDL._AC_UL320_.jpg,4.0 out of 5 stars,₹149,"₹1,099",(86% off),,,
"TRI-COM ® Pure Copper Category RJ45 6 w/Strain Relief/Fluke Tested ul/TIA Certified Pure Copper 10/100/1000 Mbps, 10 Gigabit, Heavy Duty LD Coated PVC Outer for Router Jacket for Outdoor (90 Meter)",https://m.media-amazon.com/images/I/81GW7PWZmES._AC_UL320_.jpg,3.9 out of 5 stars,"₹3,673","₹12,999",(72% off),,,
SONIA MUSICALS Baby 29 Keys Bass Harmonium Musical Instruments,https://m.media-amazon.com/images/I/61XEVadgUKL._AC_UL320_.jpg,,"₹18,550","₹20,499",(10% off),,,
"PTron Boom Ultima V2 Dual Driver, in-Ear Gaming Wired Headphones with in-line Mic, Volume Control, Passive Noise Cancelling Boom 3 Earphones with 3.5mm Audio Jack & 1.2M Tangle-Free Cable (Black)",https://m.media-amazon.com/images/I/51bvD3RSpjL._AC_UL320_.jpg,3.7 out of 5 stars,₹249,"₹1,900",(87% off),,,
SONIA MUSICALS Musical Harmonium H23-7M 7 Stopper,https://m.media-amazon.com/images/I/515f74N1W-L._AC_UL320_.jpg,,"₹8,500","₹11,099",(23% off),,,
SONIA MUSICALS Musical Double Bellow 39 Keys Bass Reed Linden Wood Harmonium,https://m.media-amazon.com/images/I/61sqdQBekHL._AC_UL320_.jpg,,"₹10,500","₹15,099",(30% off),,,
"Amazon Basics Capacitive Stylus Pen for iOS and Android Touchscreen Devices, Fine Point Disc Tip, Lightweight Metal Body with Magnetic Cover, (Grey)",https://m.media-amazon.com/images/I/61YRotAtCrL._AC_UL320_.jpg,3.7 out of 5 stars,₹299,"₹1,099",(73% off),,,
"pTron Tangent Urban with 60Hrs Playtime, ENC Wireless Bluetooth 5.3 Headphones, Low Latency Gaming, Punchy Bass, in-Ear Wireless Earphones with Mic, Type-C Charging, IPX4 & Voice Assistance (Black)",https://m.media-amazon.com/images/I/51tofyWWCcL._AC_UL320_.jpg,3.3 out of 5 stars,₹599,"₹2,599",(77% off),,,
